Team,Record,ELO,Rank,ELO_Delta,Seed,Region
North Carolina A&T,6-25,1043.87,337,,,
Utah Tech,5-26,1042.24,338,,,
Coastal Carolina,8-22,1035.1,339,,,
Cal State Fullerton,4-26,1033.34,340,,,
Green Bay,4-27,1031.9,341,,,
Holy Cross,11-19,1030.5,342,,,
Oral Roberts,4-22,1024.07,343,,,
Detroit,7-24,1022.66,344,,,
ULM,5-25,1021.8,345,,,
East Texas A&M,5-26,1018.55,346,,,
West Georgia,5-25,1009.56,347,,,
NJIT,5-25,1009.48,348,,,
Southern Indiana,8-20,1006.92,349,,,
Coppin State,5-24,1005.37,350,,,
South Carolina Upstate,3-26,993.33,351,,,
Alabama A&M,7-22,986.08,352,,,
Canisius,3-28,985.12,353,,,
Le Moyne,7-23,983.46,354,,,
Northern Illinois,3-25,975.87,355,,,
Bellarmine,3-26,968.81,356,,,
Sacramento State,4-25,963.31,357,,,
Chicago State,4-28,950.83,358,,,
Maryland Eastern Shore,2-25,943.69,359,,,
The Citadel,1-25,918.44,360,,,
Arkansas-Pine Bluff,4-25,917.43,361,,,
New Orleans,4-27,913.8,362,,,
Prairie View A&M,4-27,893.63,363,,,
Mississippi Valley State,1-28,822.14,364,,,
